Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Mondi Limited,,,Packaging & Printing,info@mondilimited.co.za,041 331 8144,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Mondi Packaging South Africa,,,Packaging & Printing,info@mondipackagingsouthafrica.co.za,031 676 8028,Operations Manager,10,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Mondi South Africa,,,Packaging & Printing,info@mondisouthafrica.co.za,021 833 2873,Operations Manager,10,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Nampak Limited,,,Packaging & Printing,info@nampaklimited.co.za,012 768 6764,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Nampak Products Limited,,,Packaging & Printing,info@nampakproductslimited.co.za,013 807 8306,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Nampak Bevcan,,,Packaging & Printing,info@nampakbevcan.co.za,015 494 3258,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Nampak DivFood,,,Packaging & Printing,info@nampakdivfood.co.za,012 900 3703,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Nampak Cartons & Labels,,,Packaging & Printing,info@nampakcartonslabels.co.za,021 745 9110,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Sappi Limited,,,Packaging & Printing,info@sappilimited.co.za,018 378 7265,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Sappi Saiccor,,,Packaging & Printing,info@sappisaiccor.co.za,014 685 9367,Operations Manager,9,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
Sappi Tugela,,,Packaging & Printing,info@sappitugela.co.za,041 662 1049,Operations Manager,8,30-60 days,Major packaging/printing operator. National coverage. High PPE requirement for plant and warehouse staff.
