Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Vigier Beton Romandie SA,South Africa,https://www.vigierbetonromandie.co.za,Mining & Quarrying,info@vigierbetonromandie.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
MAVUNGWANI COLLIERY (PTY) LTD,South Africa,https://www.mavungwanicolliery.co.za,Mining & Quarrying,info@mavungwanicolliery.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Coal Mining. REGION: South Africa. "
IMPALA PLATINUM LTD,South Africa,https://www.impalaplatinum.co.za,Mining & Quarrying,info@impalaplatinum.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
Iscor Ltd,South Africa,https://www.iscor.co.za,Mining & Quarrying,info@iscor.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Harmony Gold Mining Company Ltd,South Africa,https://www.harmonygoldminingcompany.co.za,Mining & Quarrying,info@harmonygoldminingcompany.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
TENDELE MINING (PTY) LTD,South Africa,https://www.tendelemining.co.za,Mining & Quarrying,info@tendelemining.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
MOOLMANS SOUTH AFRICA (PTY) LTD,South Africa,https://www.moolmanssouthafrica.co.za,Mining & Quarrying,info@moolmanssouthafrica.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Kieswerk Aebisholz AG,South Africa,https://www.kieswerkaebisholzag.co.za,Mining & Quarrying,info@kieswerkaebisholzag.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
SIYANDA BAKGATLA PLATINUM MINE (PTY) LTD,South Africa,https://www.siyandabakgatlaplatinummine.co.za,Mining & Quarrying,info@siyandabakgatlaplatinummine.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
TROLLOPE MINING SERVICES (2000) (PTY) LTD,South Africa,https://www.trollopeminingservices2000.co.za,Mining & Quarrying,info@trollopeminingservices2000.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
GOLD FIELDS GROUP SERVICES (PTY) LTD,South Africa,https://www.goldfieldsgroupservices.co.za,Mining & Quarrying,info@goldfieldsgroupservices.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
AFRISAM (SOUTH AFRICA) (PTY) LTD,South Africa,https://www.afrisamsouthafrica.co.za,Mining & Quarrying,info@afrisamsouthafrica.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
ROYAL BAFOKENG PLATINUM LTD,South Africa,https://www.royalbafokengplatinum.co.za,Mining & Quarrying,info@royalbafokengplatinum.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
Kieswerk Oldis AG,South Africa,https://www.kieswerkoldisag.co.za,Mining & Quarrying,info@kieswerkoldisag.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
THE VRYHEID (NATAL) RAILWAY COAL AND IRON COMPANY LTD,South Africa,https://www.thevryheidnatalrailwaycoalandironcompany.co.za,Mining & Quarrying,info@thevryheidnatalrailwaycoalandironcompany.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Coal Mining. REGION: South Africa. "
GOLD FIELDS LTD,South Africa,https://www.goldfields.co.za,Mining & Quarrying,info@goldfields.co.za,,,9,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
SHB Steinbruch und Hartschotterwerk Blausee-Mitholz AG,South Africa,https://www.shbsteinbruchundhartschotterwerkblauseemitholzag.co.za,Mining & Quarrying,info@shbsteinbruchundhartschotterwerkblauseemitholzag.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
M C C CONTRACTS (PTY) LTD,South Africa,https://www.mcccontracts.co.za,Mining & Quarrying,info@mcccontracts.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
MARULA PLATINUM (PTY) LTD,South Africa,https://www.marulaplatinum.co.za,Mining & Quarrying,info@marulaplatinum.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
BASIL READ MINING SA (PTY) LTD,South Africa,https://www.basilreadminingsa.co.za,Mining & Quarrying,info@basilreadminingsa.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
PLATCHRO MINING SERVICES (PTY) LTD,South Africa,https://www.platchrominingservices.co.za,Mining & Quarrying,info@platchrominingservices.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
TRIPLE M MINING (PTY) LTD,South Africa,https://www.triplemmining.co.za,Mining & Quarrying,info@triplemmining.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
SIMMER AND JACK MINES LTD,South Africa,https://www.simmerandjackmines.co.za,Mining & Quarrying,info@simmerandjackmines.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
Vigier Beton Mittelland AG,South Africa,https://www.vigierbetonmittellandag.co.za,Mining & Quarrying,info@vigierbetonmittellandag.co.za,,,6,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
WESIZWE PLATINUM LTD,South Africa,https://www.wesizweplatinum.co.za,Mining & Quarrying,info@wesizweplatinum.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Platinum Mining. REGION: South Africa. "
LORAINE GOLD MINES LTD,South Africa,https://www.lorainegoldmines.co.za,Mining & Quarrying,info@lorainegoldmines.co.za,,,8,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. SPECIALTY: Gold Mining. REGION: South Africa. "
HIPPO QUARRIES (PTY) LTD,South Africa,https://www.hippoquarries.co.za,Mining & Quarrying,info@hippoquarries.co.za,,,7,30-60 days,"SOURCE: Mining industry lists (CompanyData, POIDATA). INDUSTRY: Mining & Quarrying. REGION: South Africa. "
