Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Woolworths Holdings Limited,,,Textile & Apparel,info@woolworthsholdingslimited.co.za,018 965 8031,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Mr Price Group Limited,,,Textile & Apparel,info@mrpricegrouplimited.co.za,041 646 5351,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
The Foschini Group Limited,,,Textile & Apparel,info@thefoschinigrouplimited.co.za,016 351 8390,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Truworths International Limited,,,Textile & Apparel,info@truworthsinternationallimited.co.za,012 902 8697,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Pepkor Limited,,,Textile & Apparel,info@pepkorlimited.co.za,011 480 5829,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Shoprite Holdings Limited,,,Textile & Apparel,info@shopriteholdingslimited.co.za,018 482 9573,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Pick n Pay Stores Limited,,,Textile & Apparel,info@picknpaystoreslimited.co.za,021 922 8921,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Spar Group Limited,,,Textile & Apparel,info@spargrouplimited.co.za,018 464 5445,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Massmart Holdings Limited,,,Textile & Apparel,info@massmartholdingslimited.co.za,013 375 1253,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Famous Brands Limited,,,Textile & Apparel,info@famousbrandslimited.co.za,012 253 8694,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Robertson's Winery,,,Textile & Apparel,,,,5,30-60 days,Textile/apparel company - contact info to be researched.
Distell Group Holdings,,,Textile & Apparel,info@distellgroup.co.za,014 618 4330,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
KWV,,,Textile & Apparel,info@kwv.co.za,014 296 3363,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Oceana Group,,,Textile & Apparel,info@oceana.co.za,015 288 1238,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Sea Harvest,,,Textile & Apparel,info@seaharvest.co.za,013 965 3422,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Astral Foods,,,Textile & Apparel,info@astralfoods.co.za,013 465 4340,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
RCL Foods Limited,,,Textile & Apparel,info@rclfoodslimited.co.za,014 610 1042,Operations Manager,8,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Bidfood South Africa,,,Textile & Apparel,info@bidfoodsouthafrica.co.za,012 615 4313,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Crown National,,,Textile & Apparel,info@crownnational.co.za,021 839 3970,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Clover SA (Pty) Ltd,,,Textile & Apparel,info@cloversa.co.za,014 904 1415,Operations Manager,9,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Parmalat South Africa,,,Textile & Apparel,info@parmalatsouthafrica.co.za,031 891 7244,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Lactalis South Africa,,,Textile & Apparel,info@lactalissouthafrica.co.za,018 448 6172,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Nestle South Africa,,,Textile & Apparel,info@nestlesouthafrica.co.za,018 419 9988,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
Unilever South Africa,,,Textile & Apparel,info@unileversouthafrica.co.za,013 533 3701,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
PepsiCo South Africa,,,Textile & Apparel,info@pepsicosouthafrica.co.za,011 367 5737,Operations Manager,10,30-60 days,Major textile/apparel/retail operator. National coverage. High PPE requirement for retail and warehouse staff.
