Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
ArcelorMittal South Africa Limited,,,Steel & Metal Fabrication,info@arcelormittalsouthafricalimited.co.za,041 879 3201,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Evraz Highveld Steel and Vanadium,,,Steel & Metal Fabrication,info@evrazhighveldsteelandvanadium.co.za,031 676 8717,Operations Manager,8,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
RUSAL South Africa,,,Steel & Metal Fabrication,info@rusalsouthafrica.co.za,021 217 6423,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
 Nippon Steel & Sumitomo Metal South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@nipponsteelsumitomometalsouthafrica.co.za,041 217 2136,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
POSCO South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@poscosouthafrica.co.za,012 218 7989,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Baosteel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@baosteelsouthafrica.co.za,011 829 6258,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Hebei Iron and Steel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@hebeiironandsteelsouthafrica.co.za,021 945 4767,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Shougang South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@shougangsouthafrica.co.za,015 482 3189,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Ansteel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@ansteelsouthafrica.co.za,016 638 9542,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Vallourec South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@vallourecsouthafrica.co.za,016 976 2993,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Tata Steel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@tatasteelsouthafrica.co.za,012 673 9578,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
JSW Steel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@jswsteelsouthafrica.co.za,012 364 2331,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Steel Authority of India Limited (SAIL) South Africa,,,Steel & Metal Fabrication,info@steelauthorityofindialimitedsailsouthafrica.co.za,014 735 8991,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Rashtriya Ispat Nigam Limited (RINL) South Africa,,,Steel & Metal Fabrication,info@rashtriyaispatnigamlimitedrinlsouthafrica.co.za,016 414 8612,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Essar Steel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@essarsteelsouthafrica.co.za,014 333 5269,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Metinvest South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@metinvestsouthafrica.co.za,016 668 2986,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Severstal South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@severstalsouthafrica.co.za,041 629 8025,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
NLMK South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@nlmksouthafrica.co.za,013 731 6736,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
MMK South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@mmksouthafrica.co.za,015 249 9542,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
AK Steel South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@aksteelsouthafrica.co.za,041 644 1285,Operations Manager,10,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
Cleveland-Cliffs South Africa (PTY) LTD,,,Steel & Metal Fabrication,info@clevelandcliffssouthafrica.co.za,014 413 5124,Operations Manager,8,30-60 days,Major steel/metal operator. National coverage. High PPE requirement for plant and fabrication staff.
