Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Nalco Africa (PTY) LTD,,,Chemical & Pharma,info@nalcoafr.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
African Oxygen LTD,,,Chemical & Pharma,info@africanoxygen.co.za,016 794 4158,Operations Manager,9,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Colgatepalmolive (PTY) LTD,,,Chemical & Pharma,info@colgatep.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Everseed Ferroalloys (PTY) LTD,,,Chemical & Pharma,info@everseed.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Firmenich (PTY) LTD,,,Chemical & Pharma,info@firmenic.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Nutrochem Manufacturing (PTY) LTD,,,Chemical & Pharma,info@nutroche.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Intervet (PTY) LTD,,,Chemical & Pharma,info@intervet.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Hempel Paints South Africa (PTY) LTD,,,Chemical & Pharma,info@hempelpaintssouthafrica.co.za,014 836 4311,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Purefert South Africa (PTY) LTD,,,Chemical & Pharma,info@purefertsouthafrica.co.za,018 846 8588,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Sandoz South Africa (PTY) LTD,,,Chemical & Pharma,info@sandozsouthafrica.co.za,013 483 2239,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Vs Kunsmis (PTY) LTD,,,Chemical & Pharma,info@vskunsmi.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Kt Wash Detergents (PTY) LTD,,,Chemical & Pharma,info@ktwashde.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Ntp Radioisotopes (PTY) LTD,,,Chemical & Pharma,info@ntpradio.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Buckman Laboratories (PTY) LTD,,,Chemical & Pharma,info@buckmanl.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Indigo Brands (PTY) LTD,,,Chemical & Pharma,info@indigobr.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Zone Chemicals Cape Town (PTY) LTD,,,Chemical & Pharma,info@zonechem.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Duco Speciality Coatings (PTY) LTD,,,Chemical & Pharma,info@ducospec.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Medal Paints (PTY) LTD,,,Chemical & Pharma,info@medalpai.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Bayer (PTY) LTD,,,Chemical & Pharma,info@bayerpty.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Enviro Bio Chem (PTY) LTD,,,Chemical & Pharma,info@envirobi.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Carst And Walker South Africa (PTY) LTD,,,Chemical & Pharma,info@carstandwalkersouthafrica.co.za,012 844 5046,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Ppg Protective And Marine Coatings (PTY) LTD,,,Chemical & Pharma,info@ppgprotectiveandmarinecoatings.co.za,021 477 4063,Operations Manager,9,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Colourcoat Contractors (PTY) LTD,,,Chemical & Pharma,info@colourco.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Ch Chemicals (PTY) LTD,,,Chemical & Pharma,info@chchemic.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Trifert (PTY) LTD,,,Chemical & Pharma,info@trifertp.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Pharmaq (PTY) LTD,,,Chemical & Pharma,info@pharmaqp.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Rolfes Holdings LTD,,,Chemical & Pharma,info@rolfesho.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Hubergroup South Africa (PTY) LTD,,,Chemical & Pharma,info@hubergroupsouthafrica.co.za,011 986 5540,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Astrazeneca Pharmaceuticals (PTY) LTD,,,Chemical & Pharma,info@astrazen.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Avon Justine (PTY) LTD,,,Chemical & Pharma,info@avonjust.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
South African Adhesives SA Adhesives (PTY) LTD,,,Chemical & Pharma,info@southafricanadhesivessaadhesives.co.za,031 428 2971,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Sociedad Quimica Y Minera Africa (PTY) LTD,,,Chemical & Pharma,info@sociedad.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
The Valspar South Africa CORPORATION (PTY) LTD,,,Chemical & Pharma,info@thevalsparsouthafricacorporation.co.za,012 783 9603,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Suiderland Charka LTD,,,Chemical & Pharma,info@suiderla.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Problast Bs (PTY) LTD,,,Chemical & Pharma,info@problast.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Sealed Air Africa (PTY) LTD,,,Chemical & Pharma,info@sealedai.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Ncs South Africa (PTY) LTD,,,Chemical & Pharma,info@ncssouthafrica.co.za,018 978 6260,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Resrg Automotive Za (PTY) LTD,,,Chemical & Pharma,info@resrgaut.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
Masimo Chemicals South Africa (PTY) LTD,,,Chemical & Pharma,info@masimochemicalssouthafrica.co.za,014 930 1888,Operations Manager,8,30-60 days,Major chemical/pharma operator. National coverage. High PPE requirement for plant and laboratory staff.
Enel Green Power Rsa (PTY) LTD,,,Chemical & Pharma,info@enelgree.co.za,011 123 4567,Contact Person,6,30-60 days,Chemical/pharma company serving various sectors.
