Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
LMR Plumbing and Electrical,Pietermaritzburg,https://www.lmrplumbingandelectrical.co.za,Construction,admin@lmrplumbingandelectrical.co.za,082 457 9044,,9,30-60 days,RATING: 5.0/5. REVIEWS: 12 reviews. PHONE: 082 457 9044. EMAIL: admin@lmrplumbingandelectrical.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Exceptional Performance Contractors,Roodepoort,https://www.epcontractors.co.za,Construction,admin@epcontractors.co.za,081 809 5174,,7,30-60 days,RATING: 4.5/5. REVIEWS: 9 reviews. PHONE: 081 809 5174. EMAIL: admin@epcontractors.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
KAD Construction,Hermanus,https://www.kadconstruction.co.za,Construction,info@kadconstruction.co.za,028 312 3255,,7,30-60 days,RATING: 4.5/5. REVIEWS: 7 reviews. PHONE: 028 312 3255. EMAIL: info@kadconstruction.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Temi Construction,Johannesburg,https://www.temi.co.za,Construction,info@temi.co.za,011 682 3862,,7,30-60 days,RATING: 4.4/5. REVIEWS: 16 reviews. PHONE: 011 682 3862. EMAIL: info@temi.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Biggs Plumbers & Electrical,Gqeberha,https://www.biggsplumbers.co.za,Construction,hello@biggsplumbers.co.za,061 444 8597,,6,30-60 days,RATING: 4.3/5. REVIEWS: 4 reviews. PHONE: 061 444 8597. EMAIL: hello@biggsplumbers.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
JBS Building Co,Cape Town,https://www.jbs-building.co.za,Construction,info@jbs-building.co.za,021 712 1588,,9,30-60 days,RATING: 4.7/5. REVIEWS: 10 reviews. PHONE: 021 712 1588. EMAIL: info@jbs-building.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Mazeka & Sons Construction,Pietermaritzburg,https://www.mazekaandsons.co.za,Construction,info@mazekaandsons.co.za,081 521 1800,,6,30-60 days,RATING: 5.0/5. REVIEWS: 4 reviews. PHONE: 081 521 1800. EMAIL: info@mazekaandsons.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Jehcon Group,Durban,https://www.jehcongroup.co.za,Construction,info@jehcongroup.co.za,032 648 0043,,9,30-60 days,RATING: 4.5/5. REVIEWS: 14 reviews. PHONE: 032 648 0043. EMAIL: info@jehcongroup.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Nejeni,Cape Town,https://www.nejeni.co.za,Construction,info@nejeni.co.za,021 905 7338,,7,30-60 days,RATING: 4.6/5. REVIEWS: 9 reviews. PHONE: 021 905 7338. EMAIL: info@nejeni.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
MJ Construction,Pretoria,https://www.mjcs.co.za,Construction,jonathan@mjcs.co.za,083 452 3963,,7,30-60 days,RATING: 4.3/5. REVIEWS: 9 reviews. PHONE: 083 452 3963. EMAIL: jonathan@mjcs.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Crusaders Plumbing,Roodepoort,https://www.crusadersplumbing.co.za,Construction,info@crusadersplumbing.co.za,278 252 91455,,9,30-60 days,RATING: 5.0/5. REVIEWS: 14 reviews. PHONE: 278 252 91455. EMAIL: info@crusadersplumbing.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
GVK-Siya Zama,Sandton,https://www.siyazama.co.za,Construction,gauteng@siyazama.co.za,011 608 0312,,7,30-60 days,RATING: 5.0/5. REVIEWS: 8 reviews. PHONE: 011 608 0312. EMAIL: gauteng@siyazama.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
Drain Meister,Pinetown,https://www.drainmeister.co.za,Construction,info@drainmeister.co.za,031 812 0452,,9,30-60 days,RATING: 4.7/5. REVIEWS: 14 reviews. PHONE: 031 812 0452. EMAIL: info@drainmeister.co.za. SOURCE: The Business List South Africa. INDUSTRY: Construction & related services. 
