Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Grindrod Limited,,,Warehousing & Storage,info@grindrodlimited.co.za,021 341 9899,Operations Manager,8,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Bidvest Group Limited,,,Warehousing & Storage,info@bidvestgrouplimited.co.za,018 401 8107,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Imperial Logistics,,,Warehousing & Storage,info@imperiallogistics.co.za,041 444 2292,Operations Manager,8,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Super Group Limited,,,Warehousing & Storage,info@supergrouplimited.co.za,031 915 5944,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Kuehne + Nagel (SA) (PTY) LTD,,,Warehousing & Storage,info@kuehnenagelsa.co.za,012 683 5296,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
DHL Supply Chain (SA) (PTY) LTD,,,Warehousing & Storage,info@dhlsupplychainsa.co.za,014 296 7197,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
DB Schenker (SA) (PTY) LTD,,,Warehousing & Storage,info@dbschenkersa.co.za,018 823 9045,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Panalpina (SA) (PTY) LTD,,,Warehousing & Storage,info@panalpinasa.co.za,014 304 9935,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Toll Group (SA) (PTY) LTD,,,Warehousing & Storage,info@tollgroupsa.co.za,011 545 9020,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
DSV Solutions (SA) (PTY) LTD,,,Warehousing & Storage,info@dsvsolutionssa.co.za,041 279 6938,Operations Manager,9,30-60 days,Major warehousing/logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Bolloré Logistics (SA) (PTY) LTD,,,Warehousing & Storage,info@bollorlo.co.za,011 123 4567,Contact Person,6,30-60 days,Warehousing/storage company serving various sectors.
