Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
List of Top 50 largest Logistics Companies in,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
- CompanyData Solutions Bold Lists Custom targeted company lists Bold API Real-time company data API Bold Bulk Database Large-scale database downloads Bold Platform Self-service data platform Bold Enrichment Enrich your existing data Bold Hierarchies Corporate structure mapping Resources Blog Insights and industry articles Cases Customer success stories ? FAQ Frequently asked questions Our Data Data sources and quality About us Our mission and team Free Datasets Download free sample data Company Lookup Search any company instantly Comparisons Find the best B2B data provider for your needs Pricing Contact Request Free Data Sample Select language EN NL DE Request Free Data Sample Select language EN NL DE Home List of Companies in,,,Logistics & Transport,info@companyd.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
Logistics Companies,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
List of Logistics Companies,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
This list of Logistics Companies in,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"features verified data to help you connect With 8,476 firms mainly in",,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
’s logistics sector is growing fast driven by the rise in e-commerce and infrastructure development Get access now or request a custom Excel file with Logistics Companies or any other industry from our worldwide company database  Accelerate your B2B sales with accurate data from Logistics Companies in,,,Logistics & Transport,info@slogisti.co.za,011 123 4567,Contact Person,6,30-60 days,Logistics company serving industrial sectors.
 Create a faster path from prospect to profitable relationship with BoldData’s business intelligence Our Logistics Companies data is locally sourced in compliance with the GDPR law The main data sources of our list of Logistics Companies in,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
are the The,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
n chamber of commerce and other local sources Buy your list via the tool and start your campaign in minutes! Number of Logistics Companies in,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
The total number of Logistics Companies in,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"is 8,476",,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
 Top Logistics Companies in,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Safcor Freight (PTY) LTD Safcor Freight (PTY) LTD All Employee Sizes 1-9 employees 10-49 employees 50-99 employees 100-499 employees 500-999 employees 1000-4999 employees 5000+ employees All Revenue < $1M $1M - $10M $10M - $50M $50M - $100M $100M - $500M $500M - $1B > $1B All Legal Types Corporation Private Limited Company Private Limited Liability Company Public Limited Company Public Company Proprietorship Limited Liability General Partnership Limited Partnership Partnership (Unknown Type) Joint Venture Cooperative Non-Profit Organization Government Body Local Government Body Branch Foreign Company Corporation With Variable Capital Showing 100 of 226,601 companies Sort By Revenue (High to Low) Employees (High to Low) Company Name Country City Address 1 State/Province Postal Code Website Founding Year Yearly Revenue in U.S Dollars Employees Total Business Legal Type - Description Number of Companies in Group Company Registration Number 1 Safcor Freight (PTY) LTD",,,Logistics & Transport,info@safcorfreightptyltdsafcorfreightptyltdallemployeesizes19employees1049employees5099employees100499employees500999employees10004999employees5000employeesallrevenue1m1m10m10m50m50m100m100m500m500m1b1balllegaltypescorporationprivatelimitedcompanyprivatelimitedliabilitycompanypubliclimitedcompanypubliccompanyproprietorshiplimitedliabilitygeneralpartnershiplimitedpartnershippartnershipunknowntypejointventurecooperativenonprofitorganizationgovernmentbodylocalgovernmentbodybranchforeigncompanycorporationwithvariablecapitalshowing100of226601companiessortbyrevenuehightolowemployeeshightolowcompanynamecountrycityaddress1stateprovincepostalcodewebsitefoundingyearyearlyrevenueinusdollarsemployeestotalbusinesslegaltypedescriptionnumberofcompaniesingroupcompanyregistrationnumber1safcorfreight.co.za,014 944 5510,Operations Manager,9,30-60 days,Major logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Johannesburg 2nd Floor Bidvest Hse,,,Logistics & Transport,info@johannesburg2ndfloorbidvesthse.co.za,011 844 3926,Operations Manager,8,30-60 days,Major logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Johannesburg Plumbago Business Park Gauteng,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
"Cape Town 28 Karee St Western Cape 7570 N/A 2012 $2,936,047,458 300 Corporation 43 201215931107 4 Super Group Holdings (PTY) LTD",,,Logistics & Transport,info@capetown28kareestwesterncape7570na20122936047458300corporation432012159311074supergroupholdings.co.za,031 816 4531,Operations Manager,9,30-60 days,Major logistics operator. National coverage. High PPE requirement for warehouse and transport staff.
Johannesburg 27 Impala Rd Gauteng,,,Logistics & Transport,,,,5,30-60 days,Logistics company - contact info to be researched.
