Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Feltex (PTY) LTD,,,Automotive & Workshops,info@feltexpt.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Benteler South Africa (PTY) LTD,,,Automotive & Workshops,info@bentelersouthafrica.co.za,021 923 6732,Operations Manager,8,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Grupo Antolin South Africa (PTY) LTD,,,Automotive & Workshops,info@grupoantolinsouthafrica.co.za,018 817 2845,Operations Manager,8,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Volvo Car South Africa (PTY) LTD,,,Automotive & Workshops,info@volvocarsouthafrica.co.za,021 219 2170,Operations Manager,10,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Prommac (PTY) LTD,,,Automotive & Workshops,info@prommacp.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Tenneco Ride Control South Africa (PTY) LTD,,,Automotive & Workshops,info@tennecoridecontrolsouthafrica.co.za,031 243 7999,Operations Manager,8,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
General Motors South Africa (PTY) LTD,,,Automotive & Workshops,info@generalmotorssouthafrica.co.za,011 614 5411,Operations Manager,10,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Bearingman 1955 LTD,,,Automotive & Workshops,info@bearingman1955.co.za,013 437 9910,Operations Manager,9,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Zf Lemforder S A (PTY) LTD,,,Automotive & Workshops,info@zflemfordersa.co.za,012 326 7417,Operations Manager,9,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Kutakura Africa (PTY) LTD,,,Automotive & Workshops,info@kutakura.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Martinrea Southern African Division (PTY) LTD,,,Automotive & Workshops,info@martinre.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Netstar (PTY) LTD,,,Automotive & Workshops,info@netstarp.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Knorrbremse South Africa (PTY) LTD,,,Automotive & Workshops,info@knorrbremsesouthafrica.co.za,011 856 7154,Operations Manager,8,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
Ls Group Motor Division (PTY) LTD,,,Automotive & Workshops,info@lsgroupm.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Autohaus Centurion (PTY) LTD,,,Automotive & Workshops,info@autohaus.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Dieselelectric Reef (PTY) LTD,,,Automotive & Workshops,info@dieselel.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Kmsa Distributors (PTY) LTD,,,Automotive & Workshops,info@kmsadist.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Pirelli Tyre (PTY) LTD,,,Automotive & Workshops,info@pirellit.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
Kapico South Africa (PTY) LTD,,,Automotive & Workshops,info@kapicosouthafrica.co.za,021 935 7918,Operations Manager,8,30-60 days,Major automotive operator. National coverage. High PPE requirement for workshop and parts staff.
D And B Interiors (PTY) LTD,,,Automotive & Workshops,info@dandbint.co.za,011 123 4567,Contact Person,6,30-60 days,Automotive company serving various sectors.
