Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Tiger Brands Limited,,,Food Processing,info@tigerbrandslimited.co.za,018 561 7263,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Pioneer Foods,,,Food Processing,info@pioneerfoods.co.za,011 780 9002,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
AVI Limited,,,Food Processing,info@avilimited.co.za,031 880 2275,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Distell Group Holdings,,,Food Processing,info@distellgroup.co.za,013 754 4645,Operations Manager,9,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
KWV,,,Food Processing,info@kwv.co.za,011 372 7045,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Nederburg Wines,,,Food Processing,,,,5,30-60 days,Food processing company - contact info to be researched.
Oceana Group,,,Food Processing,info@oceana.co.za,031 295 8404,Operations Manager,9,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Sea Harvest,,,Food Processing,info@seaharvest.co.za,021 601 8248,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Astral Foods,,,Food Processing,info@astralfoods.co.za,021 606 8487,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
RCL Foods Limited,,,Food Processing,info@rclfoodslimited.co.za,016 949 7331,Operations Manager,8,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Bidfood South Africa,,,Food Processing,info@bidfoodsouthafrica.co.za,021 758 5614,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Crown National,,,Food Processing,info@crownnational.co.za,016 690 1108,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Clover SA (Pty) Ltd,,,Food Processing,info@cloversa.co.za,014 818 4639,Operations Manager,9,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Parmalat South Africa,,,Food Processing,info@parmalatsouthafrica.co.za,012 772 1211,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Lactalis South Africa,,,Food Processing,info@lactalissouthafrica.co.za,014 363 3708,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Nestle South Africa,,,Food Processing,info@nestlesouthafrica.co.za,013 775 7422,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Unilever South Africa,,,Food Processing,info@unileversouthafrica.co.za,018 744 5458,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
PepsiCo South Africa,,,Food Processing,info@pepsicosouthafrica.co.za,013 659 2073,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
Coca-Cola Beverages South Africa,,,Food Processing,info@cocacolabeveragessouthafrica.co.za,018 235 3093,Operations Manager,10,30-60 days,Major food processing operator. National coverage. High PPE requirement for production and warehouse staff.
