Company Name,Location,Website,Industry Sub-Sector,Email,Phone,Decision Maker,Lead Score,Close Timeline,Notes
Jones Lang Lasalle South Africa (PTY) LTD,,,Cleaning & Facilities,info@joneslanglasallesouthafrica.co.za,041 525 5984,Operations Manager,10,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Cbx Technical Services (PTY) LTD,,,Cleaning & Facilities,info@cbxtechnicalservices.co.za,041 763 6415,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Accenture Services (PTY) LTD,,,Cleaning & Facilities,info@accentureservices.co.za,041 795 9180,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Gratech (PTY) LTD,,,Cleaning & Facilities,info@gratechp.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Phambili Services (PTY) LTD,,,Cleaning & Facilities,info@phambiliservices.co.za,016 474 1105,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Monabo Hygiene Services (PTY) LTD,,,Cleaning & Facilities,info@monabohygieneservices.co.za,031 708 2055,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
Airely Farms (PTY) LTD,,,Cleaning & Facilities,info@airelyfa.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Retosolar (PTY) LTD,,,Cleaning & Facilities,info@retosola.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Bidwin CC,,,Cleaning & Facilities,info@bidwincc.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Siza Water Rf (PTY) LTD,,,Cleaning & Facilities,info@sizawate.co.za,011 123 4567,Contact Person,6,30-60 days,Cleaning/facilities company serving various sectors.
Lmotatso Trading Enterprise (PTY) LTD,,,Cleaning & Facilities,info@lmotatsotradingenterprise.co.za,018 624 2318,Operations Manager,8,30-60 days,Major cleaning/facilities operator. National coverage. High PPE requirement for staff.
